PROT	control.1	control.2	control.3	control.4	control.5	control.6	control.7	control.8	control.9	control.10	mutant.1.A	mutant.1.B	mutant.2	mutant.3
p101	0	2	7	4	0	0	0	0	0	0	2	2	4	3
p102	0	0	0	0	0	3	3	3	3	0	4	0	0	4
p103	0	5	0	7	0	0	0	0	0	0	7	9	12	11
p104	3	3	4	0	0	0	0	0	0	2	0	0	4	3
p105	0	0	0	4	0	0	2	0	2	3	0	0	0	0
p106	0	0	0	0	3	2	0	0	0	6	2	0	3	0
p107	2	0	5	0	2	2	0	0	0	0	4	2	0	5
p108	2	0	3	3	0	0	0	0	0	3	4	4	3	2
p109	2	0	6	3	0	0	0	0	0	0	0	0	0	0
p110	2	2	4	2	0	0	0	0	0	0	6	4	2	5
p111	2	0	2	2	0	0	0	0	2	2	0	0	2	0
p112	2	2	4	2	0	0	0	0	0	0	2	0	0	0
p113	2	0	5	3	0	0	0	0	0	0	2	2	4	2
p114	0	2	5	3	0	0	0	0	0	0	2	0	4	2
p115	0	2	4	4	0	0	0	0	0	0	0	2	0	0
p116	0	0	0	0	0	0	3	2	3	2	0	0	0	0
p117	0	0	0	0	0	0	3	3	0	4	0	0	2	3
p118	0	3	0	7	0	0	0	0	0	0	8	9	17	31
p119	0	0	0	0	0	2	3	2	2	0	2	2	2	2
p120	0	0	0	0	0	0	2	2	3	2	10	9	8	7
p121	0	0	3	2	0	0	0	0	0	4	3	3	0	5
p122	0	0	0	0	3	3	3	0	0	0	0	2	0	0
p123	0	0	3	0	0	0	0	0	0	6	4	4	4	5
p124	0	0	4	5	0	0	0	0	0	0	5	7	5	7
p125	2	0	0	4	0	3	0	0	0	0	4	3	0	0
p126	0	2	4	0	0	0	0	0	0	2	2	4	5	4
p127	0	0	3	3	2	0	0	0	0	0	6	3	6	3
p128	0	4	4	0	0	0	0	0	0	0	3	5	4	3
p129	0	0	5	0	0	3	0	0	0	0	0	0	0	0
p130	0	0	0	6	0	0	2	0	0	0	0	0	0	0
p131	0	3	0	4	0	0	0	0	0	0	5	8	4	6
p132	0	0	0	7	0	0	0	0	0	0	5	3	5	0
p133	2	1	1	0	0	1	1	1	0	0	3	0	2	2
p134	0	0	7	0	0	0	0	0	0	0	0	0	0	0
p135	0	2	0	0	0	2	2	0	0	0	0	0	0	0
p136	0	2	2	0	0	0	2	0	0	0	3	0	0	2
p137	3	3	0	0	0	0	0	0	0	0	3	3	3	4
p138	0	4	0	0	0	0	0	0	0	2	8	12	17	13
p139	0	3	3	0	0	0	0	0	0	0	2	3	0	3
p140	0	3	0	3	0	0	0	0	0	0	0	2	0	3
p141	0	0	3	3	0	0	0	0	0	0	0	0	0	0
p142	0	0	4	2	0	0	0	0	0	0	4	5	4	5
p143	2	1	1	1	0	1	0	0	0	0	5	6	5	2
p144	2	1	1	1	0	0	0	0	0	1	0	2	0	0
p145	2	1	1	1	0	0	0	0	0	1	3	3	4	3
p146	0	2	1	1	0	0	1	0	0	1	4	7	3	0
p147	2	1	1	1	1	0	0	0	0	0	0	2	0	0
p148	2	1	1	1	0	0	0	0	1	0	0	4	0	0
p149	0	2	1	1	0	0	1	0	1	0	0	3	0	2
p150	0	0	0	0	0	2	0	0	0	4	3	0	3	4
p151	0	0	0	0	0	2	0	0	0	4	0	2	0	0
p152	0	2	3	0	0	0	0	0	0	0	3	3	6	3
p153	0	0	3	2	0	0	0	0	0	0	5	7	5	2
p154	0	0	3	2	0	0	0	0	0	0	3	4	3	4
